FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa,target
0,109.95 ,31.63 ,333.4349976,1374,1650.819946,0.0409643,0.231471,0.0011926,-0.0022907,29.2059002,72.4263992,0.380175,121.0820007,-4.97297,4.2031498,0.0026445,2,100,191,5550,6365.729981,0
1,110.00 ,31.63 ,228.1450043,1011,1053.849976,0.228053,0.364292,0.0018152,-0.0050114,47.0451012,247.279007,1.74412,-18.9456997,-27.3514004,12.3884001,0.0232586,2,100,200,890.9550171,7560.120117,0
2,109.90 ,31.73 ,119.3580017,1825,967.4710083,0.316918,0.410229,-0.0028557,-0.0016737,31.4631996,656.9849854,0.102738,34.0923004,-7.02703,9.6294298,0.0034343,2,100,180,4024.030029,6308.350098,0
3,110.03 ,31.60 ,334.7990112,1407,1207.849976,0.160884,0.315183,0.0173294,0.0015606,17.3873005,0,0.0562917,-275.223999,16.3784008,10.309,0.0154842,2,100,191,1612.76001,12233,0
4,109.99 ,31.66 ,55.4915009,1919,2656.98999,0.0468652,0.381681,-0.0034927,0.0026523,32.9115982,84.8527985,0.679546,1195.819946,7.7027001,1.91304,0.003815,2,100,191,3405.229981,4885.950195,0
5,110.06 ,31.71 ,288.4349976,953,134.1640015,0.308247,0.248495,-0.0057975,0.0001739,22.8621006,621.8380127,0.307723,1817.01001,-4.4864898,7.1610999,0.00263,2,300,283,912.4140015,1318.979981,0
6,110.02 ,31.67 ,208.8869934,1596,1266.060059,0.260963,0.393741,0.0012495,0.0049613,47.8306999,0,0.298129,25.6179008,33.8377991,3.5590999,0.0340584,2,100,200,1471.219971,5270.870117,0
7,109.99 ,31.69 ,346.32901,1410,1647.540039,0.170361,0.0552613,0.001473,0.0014436,32.4011993,30,1.3876801,90.4776993,8.4054098,3.6835899,0.0036775,2,100,192,2095.070068,1865.310059,0
8,109.95 ,31.67 ,278.427002,780,600.75,0.149524,0.139992,0.0019048,-0.0019105,24.4612999,180,0.412039,-166.8549957,-6.2432399,12.2549,0.0066386,2,100,199,2736.590088,2940.149902,0
9,110.02 ,31.71 ,71.5650024,1461,1380.329956,0.177174,0.303173,-0.0016865,-0.0001539,27.7912998,120,0.307999,-78.669899,-1.43243,11.9183998,0.0049792,2,100,192,2250,3325.810059,0
10,109.95 ,31.57 ,267.8789978,1741,1103.900024,0.40195,0.406469,-0.0011458,-0.0012935,24.2423992,180,0.579773,-259.4230042,-5.2702699,12.2549,0.0015351,2,100,198,5675.629883,13290.09961,0
11,109.95 ,31.58 ,265.7109985,1757,632.8510132,0.345653,0.237626,-0.0001353,0.0003712,33.7643013,247.279007,0.420578,-365.6940002,-0.702703,12.7938995,0.0023483,2,100,198,5712.379883,12782.2998,0
12,110.02 ,31.62 ,239.3000031,1123,874.6430054,0.254409,0.353356,-0.005744,-0.0002001,31.8097,212.1320038,0.84981,137.0919952,-7.4054098,6.6775298,0.0034919,2,100,191,982.7000122,9968.719727,0
13,109.99 ,31.55 ,296.5650024,1411,692.6040039,0.287032,0.210456,-0.004174,0.0003657,20.4393005,1141.25,0.301331,-681684,-2.1891899,16.3750992,0.0008797,2,100,190,3994.060059,15633.09961,0
14,109.95 ,31.59 ,340.973999,1490,108.1669998,0.304469,0.277304,-0.0000485,-0.001159,27.0788994,653.9699707,0.522985,-2664.379883,-3.48649,13.8642998,0.0014739,2,100,190,5375.359863,10801,0
15,110.06 ,31.74 ,159.076004,1022,806.1019897,0.50243,0.411886,0.0031709,-0.0001606,31.2441998,0,0.760314,-5.2038202,3.45946,10.309,0.0015095,2,300,127,930.4840088,960,0
16,109.94 ,31.63 ,310.0299988,1831,2400.189941,0.0934059,0.302191,0.0074272,0.000273,28.5533009,337.2789917,0.332035,94.5252991,9.5945902,7.0493202,0.0052808,2,100,190,6090,7271.950195,0
17,110.07 ,31.64 ,300.4660034,1568,2658.01001,0.0388139,0.24587,-0.0084764,-0.0006383,33.3223991,344.5580139,1.4735399,-2665.969971,-17.1622009,13.7428999,0.01436,2,100,192,3932.860107,9025.610352,0
18,109.96 ,31.51 ,289.6539917,2103,1449.030029,0.0637403,0.327614,0.006304,0.0013112,36.6236,0,0.363447,-55.542099,12.7297001,10.309,0.0081399,2,100,186,9009.25,19760.5,0
19,110.05 ,31.63 ,185.7109985,1585,2238.77002,0.103071,0.403362,-0.0009195,0.0003243,45.1425018,60,0.38877,206.753006,0.351351,3.6681001,0.001181,2,100,200,3036.379883,10471.09961,0
20,109.99 ,31.63 ,80.5376968,1018,2040.880005,0.120444,0.378529,-0.0319912,0.0004584,5.7888298,422.1319885,0.0507197,-70953,-6.94595,18.6956005,0.0064884,2,100,199,1830.979981,7292.220215,0
21,110.01 ,31.67 ,343.3009949,1732,700.3569946,0.224931,0.30785,-0.0024751,0.0027956,34.8386993,72.4263992,0.206023,43.3260994,1.2973,6.2525101,0.0063153,2,100,200,1652.449951,4736.009766,0
22,110.01 ,31.68 ,128.6600037,1679,30,0.0983732,0.353326,0.0011004,0.0011354,17.7528,84.8527985,0.212514,-175.4219971,2.02703,11.4076004,0.0009995,1,1400,200,2319.530029,3937.320068,0
23,109.99 ,31.64 ,238.298996,1308,2490.179932,0.0779494,0.377361,-0.0002298,-0.000232,33.6652985,454.2640076,0.612395,-669.7769775,-1.18919,13.1992998,0.0011104,2,100,200,2418.120117,6410.810059,0
24,109.96 ,31.64 ,285.9450073,1284,1181.859985,0.0495037,0.208,0.0093734,-0.0016944,25.8892002,0,0.345713,28.3111992,3.6216199,3.4591401,0.0076992,2,100,199,4767.069824,5316.859863,0
25,110.07 ,31.68 ,343.1419983,1795,1806.48999,0.136218,0.16814,-0.0026586,-0.0000904,29.8859005,90,1.10139,-2941.959961,-4.8378401,11.6952,0.0046026,2,100,200,2643.070068,4567.100098,0
26,110.01 ,31.70 ,122.4710007,1903,1916.719971,0.196861,0.294012,0.0349947,-0.0050224,12.2601004,0,0.186227,-9.4850597,5.5675702,10.309,0.0193167,2,100,192,2858.040039,3308.310059,0
27,110.07 ,31.68 ,307.4760132,1932,2418.679932,0.0490906,0.177797,-0.0010737,-0.0012727,32.2123985,212.1320038,0.654741,184.022995,-8.7837801,5.1708498,0.0045755,2,100,126,3301.639893,4658.120117,0
28,109.96 ,31.53 ,108.7779999,1464,276.5859985,0.0904814,0.410428,0.0002426,-0.0003253,41.3536987,120,1.30652,84.4922028,-3.5945899,5.58461,0.0004552,2,100,153,7724.930176,17885.69922,0
29,110.05 ,31.64 ,1.59114,1322,2418.120117,0.134521,0.228801,-0.0097895,-0.0008486,30.9734993,162.4259949,0.0273379,-85.2735977,-17.8108006,12.1007004,0.0187114,2,100,200,3035.790039,9393.070313,0
30,109.93 ,31.58 ,358.1520081,1625,169.7059937,0.227177,0.189573,-0.0011138,-0.0019331,27.3360004,247.279007,0.507407,-327.4389954,-6.6486502,12.3884001,0.0039282,2,100,190,7461.379883,13021.40039,0
31,110.05 ,31.55 ,190.3049927,1908,1866.040039,0.117376,0.393674,-0.0198921,-0.0022844,10.5553999,90,0.611001,955.3800049,-11.1080999,5.35639,0.011053,2,100,60,4111.75,18151.90039,0
32,110.06 ,31.67 ,178.897995,1406,1025.280029,0.151746,0.371675,-0.0019211,0.0009581,40.9196014,210,0,18.9801998,2.48649,8.0178804,0.0018359,2,100,200,2220.810059,5663.009766,0
33,109.94 ,31.74 ,352.4049988,1329,174.9290009,0.251667,0.236174,-0.0017699,-0.00054,45.2523994,204.8529968,0.378084,773.9730225,-7.10811,4.3097401,0.002275,2,100,193,3720,4001.26001,0
34,110.07 ,31.67 ,162.1809998,1528,1900.449951,0.0719665,0.460817,-0.0002489,-0.0011183,26.1131992,540,0.446414,850.7509766,-2.7837801,5.9451499,0.0006296,2,100,192,3150.139893,5850,0
35,109.92 ,31.53 ,38.6598015,2469,523.927002,0.0662745,0.124309,0.009345,-0.0022798,28.0841007,84.8527985,0.587609,-17.3306999,10.4595003,11.4076004,0.0107649,2,100,152,9819.540039,18539.59961,0
36,110.00 ,31.53 ,126.0979996,1816,2472.590088,0.0196854,0.418765,0.0022289,-0.0009913,44.7146988,127.2789993,0.332183,107.9069977,-0.891892,4.8937101,0.0026253,2,100,60,5533.189941,18136.69922,0
37,110.07 ,31.74 ,92.563797,747,270,0.546182,0.396243,0.0003475,0.0012022,48.1833992,120,0.617288,267.3299866,10.7297001,4.4327898,0.0027343,2,100,127,241.8679962,240,0
38,110.02 ,31.64 ,108.8529968,1001,276.5859985,0.217318,0.408668,-0.0120135,-0.0027787,35.8320007,210,0.50723,1080.969971,-22.9459,4.6125698,0.0346105,2,100,200,445.9819946,7666.979981,0
39,109.97 ,31.69 ,53.6156006,976,708.0250244,0.186962,0.320233,-0.0015899,0.0000678,38.1918983,381.8380127,0.892519,161.1109924,-0.513514,6.32547,0.0001585,2,100,191,933.3809814,874.6430054,0
40,110.07 ,31.69 ,275.1940002,2039,2061.939941,0.193891,0.268345,0.0029931,0.0000075,20.2126007,30,0,284.6849976,5.1351399,2.5373099,0.0025783,2,100,126,2927.27002,3985.600098,0
41,109.98 ,31.64 ,184.5740051,1151,2711.310059,0.0337104,0.344212,0.0082154,-0.0013881,22.6847992,120,0.79827,124.7300034,0.783784,5.1951199,0.0050397,2,100,199,2524.639893,6762.52002,0
42,110.01 ,31.63 ,154.5370026,876,510.8819885,0.267563,0.349659,-0.0055788,0.0022033,21.1891994,272.1319885,0.469353,-651.2589722,-1.7027,13.3535004,0.0090484,2,100,199,276.5859985,8222.679688,0
43,109.93 ,31.60 ,244.654007,1914,1337.949951,0.2532,0.355123,0.0015209,0.0023539,19.3103008,84.8527985,0.4522,44.6724014,5.6756802,5.2002602,0.0027824,2,100,198,7424.319824,9977.019531,0
44,109.95 ,31.73 ,296.0299988,1340,1148.650024,0.415626,0.247303,0.0010625,0.0006569,38.5746994,0,1.0065,35.9627991,5.5675702,3.2199099,0.0066056,2,100,201,2525.169922,2700.830078,0
45,110.06 ,31.64 ,55.9541016,1418,2906.439941,0.0265159,0.401708,0.0013312,-0.0010851,36.6580009,127.2789993,0,-204.9589996,-2.02703,11.6952,0.0007477,2,100,200,3504.350098,8599.959961,0
46,109.93 ,31.58 ,101.0699997,1702,442.9450073,0.214941,0.377682,-0.0054588,-0.002535,37.9971008,102.4260025,0.278297,46.0620003,-15.0541,6.1912799,0.0124925,2,100,198,7227.069824,12427.2002,0
47,109.99 ,31.67 ,360,1789,1597.619995,0.0491881,0.408053,0,0.0014441,17.5713005,30,0.110458,-199.2449951,-0.864865,11.0021,0.0068292,2,100,200,3570,3958.409912,0
48,110.01 ,31.67 ,132.2070007,1403,1140,0.185996,0.41517,0.0000559,-0.0000201,44.0545006,169.7059937,0.622184,10.8476,-5.97297,7.63732,0.0004792,2,100,200,2441.820068,4649.609863,0
49,110.04 ,31.71 ,143.326004,992,636.3959961,0.324486,0.460429,-0.0007401,0.0006715,44.3238983,84.8527985,0.372373,31.9943008,4.5405402,5.53406,0.000992,2,100,201,641.3270264,1806.48999,0
50,109.99 ,31.62 ,1.90915,1710,2207.189941,0.143053,0.0844749,-0.0036236,0.0001045,26.5778008,210,0.585839,1898.329956,-2.89189,3.41255,0.002034,2,100,199,2250,8088.939941,0
51,110.02 ,31.52 ,336.5409851,2162,1659.52002,0.105008,0.162957,-0.0024912,-0.0007646,43.9179001,187.279007,0.854487,-25.1450996,-8.4594603,12.8739004,0.0023412,2,100,60,5391.740234,19770.90039,0
52,110.01 ,31.73 ,146.6340027,1388,607.4539795,0.190961,0.417355,0.0042087,-0.0005662,39.2899017,127.2789993,1.09083,-6005.720215,1.89189,11.6952,0.0019484,2,300,201,2865.75,2797.889893,0
53,109.94 ,31.58 ,14.0361996,1547,0,0.290405,0.289993,0.0002378,-0.0010547,15.3695002,60,0.240258,-31.6784,-1.02703,11.4076004,0.0007145,2,300,190,6466.720215,12526.59961,0
54,109.96 ,31.53 ,161.0749969,1414,169.7059937,0.0773957,0.435834,0.0022598,0.0001684,31.6608009,30,0.344797,14.9902,3.10811,5.4812899,0.0012078,2,1400,153,8220,18270.90039,0
55,110.04 ,31.56 ,52.3524017,1447,1339.290039,0.0570516,0.368604,0.0031275,-0.0052612,36.3804016,314.5580139,0.713364,-1397.969971,-17.9459,12.7938995,0.0155696,2,100,190,3585.600098,16417.5,0
56,109.89 ,31.72 ,161.5650024,1769,1200,0.371326,0.425713,-0.0045677,0.0022151,17.5484009,596.9849854,1.7265199,-9552.339844,2.3513501,14.7862997,0.0027521,2,100,172,4087.050049,6638.339844,0
57,110.06 ,31.62 ,197.2409973,1655,1480.069946,0.054015,0.396505,-0.0001453,0.0008415,26.8428001,60,0.0000409,-642.0960083,3.7297299,11.4076004,0.0010916,2,100,200,3846.669922,11224.90039,0
58,109.96 ,31.69 ,266.6340027,783,582.4949951,0.290962,0.314358,-0.0000574,0.0000214,29.5811996,330,1.0499099,1332.430054,-2.5945899,4.5774498,0.0002294,2,300,282,800.5,737.9019775,0
59,109.95 ,31.55 ,164.9819946,1840,1710.26001,0.191198,0.413995,0.0021609,-0.0002273,35.2793999,30,0,52.8227997,4.7837801,4.2217498,0.001387,2,100,190,6828.209961,15426.59961,0
