FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
0,109.924578,31.545492,327.9949951,2089,2190.209961,0.0486065,0.37453,-0.0022629,0.0054405,17.4566002,0,0.0697454,-166.9170074,13.3242998,10.309,0.0144175,2,100,197,8869.549805,16408.90039
1,109.923949,31.545216,325.6199951,2084,2139.280029,0.0506106,0.295831,-0.0063489,0.0028868,20.9916,0,0.0128639,-46.6776009,6.2162199,10.309,0.0042917,2,100,197,8842.269531,16448.80078
2,109.924265,31.545219,320.1940002,2091,2150.810059,0.0501521,0.362588,-0.0065068,0.0065704,14.5925999,0,0.0112011,-61.2605019,11.5676003,10.309,0.013224,2,100,197,8865.389648,16443.59961
3,109.924581,31.545222,341.5650024,2094,2162.709961,0.0496895,0.387836,-0.0052705,0.0069156,3.0169599,0,0,-3.75842,14.7026997,10.309,0.0232665,2,100,197,8888.55957,16438.5
4,109.92332,31.544941,330.9450073,2083,2089.26001,0.0526145,0.244796,0.0000764,0.000918,18.9416008,42.4263992,0.0519173,5.5376501,5.6756802,6.4771199,0.0016907,2,100,189,8815.410156,16488.80078
5,109.923636,31.544943,330.6419983,2088,2100.209961,0.0521566,0.341793,-0.0023061,0.0030458,17.0119991,0,0,109.7720032,7.4594598,2.1039901,0.0045617,2,100,197,8838.400391,16483.5
6,109.923952,31.544946,331.3900146,2092,2111.540039,0.0516947,0.396019,-0.0096245,0.0055329,11.7957001,0,0.116901,-29.1285,10.2702999,10.309,0.0115856,2,100,197,8861.429688,16478.30078
7,109.924268,31.544949,360,2094,2123.229981,0.0512288,0.380537,0.133333,0.0027766,0.954841,0,0.217906,42.3837013,13.1892004,3.05563,0.022419,2,100,197,8884.509766,16473.19922
8,109.924584,31.544951,138.0130005,2092,2135.280029,0.0507588,0.37646,-0.0123745,0.0082555,12.6381998,0,0.0844213,2.1593399,14.2161999,6.0325899,0.022798,2,100,197,8907.629883,16468.09961
9,109.922691,31.544665,316.8479919,2080,2040.219971,0.0546184,0.225628,0.0000569,0.0022842,20.0788002,42.4263992,-9999,168.7839966,5.8378401,3.06007,0.0019089,2,100,189,8788.980469,16529
10,109.923007,31.544667,321.8429871,2086,2050.560059,0.0541611,0.305395,-0.0019608,0.0019811,16.5277996,42.4263992,0,64.2832031,6.7567601,4.0253901,0.0025924,2,100,189,8811.830078,16523.69922
11,109.923323,31.54467,323.9729919,2091,2061.290039,0.0536998,0.385487,-0.0018811,0.0040028,12.7726002,0,0,6.2754302,8.9189196,4.9657502,0.006598,2,100,197,8834.730469,16518.30078
12,109.923639,31.544673,326.3099976,2094,2072.389893,0.0532345,0.402476,-0.0085339,0.0053537,6.85322,0,0.130248,19.2306995,11.3242998,3.84589,0.0116493,2,100,197,8857.669922,16513.09961
13,109.923955,31.544675,90,2095,2083.870117,0.0527652,0.400465,0.1,0.0022185,1.90915,0,0.22775,-85.254303,13.9459,10.309,0.0206463,2,100,197,8880.660156,16507.90039
14,109.924271,31.544678,137.4900055,2092,2095.709961,0.0522919,0.389725,-0.010416,0.0090327,15.1796999,0,0.376855,-17.5074005,14.7838001,10.309,0.0243942,2,100,197,8903.679688,16502.69922
15,109.924587,31.544681,138.9909973,2084,2107.909912,0.0518148,0.392972,-0.0045017,0.0059514,26.9302006,42.4263992,0.385851,-260.1730042,12.8919001,11.0021,0.0136432,2,100,197,8926.75,16497.59961
16,109.922378,31.544391,318.3659973,2081,2001.920044,0.0559747,0.257092,-0.0025582,0.0034849,21.8698997,42.4263992,0.100663,-7.31323,5.7297301,11.0021,0.003491,2,100,189,8785.700195,16563.90039
17,109.922694,31.544394,319.7640076,2087,2012.01001,0.0555836,0.365813,-0.0086598,0.0031774,15.8451996,0,0,4.1421399,6.91892,5.3811798,0.0050173,2,100,189,8808.459961,16558.5
18,109.92301,31.544397,315,2092,2022.5,0.0551873,0.400135,-0.0084179,0.005603,9.3689203,0,0.100474,-1.6776201,9.2973003,10.309,0.0090778,2,100,189,8831.269531,16553.19922
19,109.923326,31.544399,270,2094,2033.369995,0.0547714,0.409723,0.1,0.0011093,1.90915,0,0.32542,-85.254303,11.1351004,10.309,0.0135552,2,100,197,8854.120117,16547.90039
20,109.923642,31.544402,164.0549927,2094,2044.630005,0.0542988,0.419059,-0.0072568,0.005753,6.91817,0,0.227876,22.1035004,13.4864998,3.70666,0.0178539,2,100,197,8877.009766,16542.59961
21,109.923958,31.544405,141.3399963,2092,2056.26001,0.0538223,0.391979,-0.0015237,0.0085799,17.7528,0,0.312596,-58.4740982,16.2161999,10.309,0.0227903,2,100,197,8899.94043,16537.40039
22,109.924274,31.544407,138.5039978,2082,2068.26001,0.0533419,0.389726,-0.0049088,0.0050843,30.0515995,42.4263992,0.465993,-286.447998,13.2161999,11.0021,0.0134263,2,100,197,8922.919922,16532.30078
23,109.92459,31.54441,140.5279999,2069,2080.620117,0.0528578,0.419901,-0.0027026,0.0027853,36.2820015,42.4263992,0.484924,-387.230011,9.4054098,11.0021,0.004564,2,100,197,8945.94043,16527.19922
24,109.921749,31.544115,327.8039856,2074,1954.380005,0.0576793,0.118606,-0.0056331,0.0020618,28.0025997,42.4263992,0.376568,-16.7150002,1.94595,11.0021,0.0026553,2,100,189,8760,16604.40039
25,109.922065,31.544118,324.4620056,2083,1963.800049,0.0572932,0.188169,-0.0040669,0.0039401,23.2733002,42.4263992,0.588025,202.0829926,5.6756802,2.8800099,0.0047812,2,100,189,8782.620117,16598.90039
